"mechanism_id","mechanism","D1_global_male_comms","D2_indonesian_male_comms","D3_global_manosphere","D4_indonesian_sea_manosphere","D5_masculinity_framing","D6_moral_communication","D7_indonesia_masculinity_mh","domain_breadth_moderate_or_above","unique_underlying_studies","evidence_strength","interpretation_note"
"M11","Relational care (care as household/community act)","WEAK_ADJACENT","MODERATE_SUPPORT","NOT_ADDRESSED","WEAK_ADJACENT","NOT_ADDRESSED","NOT_ADDRESSED","STRONG_SUPPORT","2","5","MODERATE (Indonesia-specific, interpretive)","Essentially a single-domain finding, but it is the domain closest to the applied question and it directly challenges the individual-help-seeker assumption every other domain silently imports."
"M12","Community as care AND surveillance (double-edged)","WEAK_ADJACENT","MODERATE_SUPPORT","WEAK_ADJACENT","MODERATE_SUPPORT","NOT_ADDRESSED","NOT_ADDRESSED","STRONG_SUPPORT","3","6","MODERATE (Indonesia-specific)","Gotong royong, rukun and classificatory kinship widen the circle of care and the circle of judgement by the same mechanism. Has no analogue in the Global North literature."
"M13","Meaning-making / religious frame (fatalism vs active coping)","WEAK_ADJACENT","MODERATE_SUPPORT","NOT_ADDRESSED","MODERATE_SUPPORT","NOT_ADDRESSED","MODERATE_SUPPORT","STRONG_SUPPORT","4","6","MODERATE (Indonesia-specific)","Religion coded in 34% of Global South vs 5% of Global North studies - the single largest North/South divergence in the dissertation's 154-study corpus. Same faith produces takdir fatalism or ngelakoni active management."
"M14","Material and institutional friction (cost, queues, gatekeeping)","WEAK_ADJACENT","MODERATE_SUPPORT","NOT_ADDRESSED","MODERATE_SUPPORT","WEAK_ADJACENT","NOT_ADDRESSED","STRONG_SUPPORT","3","7","MODERATE-STRONG (Indonesia)","SES is the second most-coded determinant across 154 studies (70.1%) and appears in five of six Indonesian studies. This mechanism operates BEFORE any wording and can nullify communication entirely."
"M15","Humour / social-distance reduction","MODERATE_SUPPORT","MODERATE_SUPPORT","STRONG_SUPPORT","MODERATE_SUPPORT","WEAK_ADJACENT","WEAK_ADJACENT","WEAK_ADJACENT","4","6","MIXED","Highest usage, weakest isolation. Man Therapy RCT is the closest thing to a test and it was null on clinical outcomes. Humour is simultaneously the manosphere's best-documented entry hook and an unproven persuasion technique."
"M16","Quantified / legible progress (metrics, rankings, streaks)","WEAK_ADJACENT","WEAK_ADJACENT","STRONG_SUPPORT","MODERATE_SUPPORT","NOT_ADDRESSED","NOT_ADDRESSED","NOT_ADDRESSED","2","4","PROMISING/TENTATIVE (and double-edged)","Looksmaxxing shows the same mechanism producing both actionability and self-objectification/demoralisation. Talk Club's 'out of 10' is the benign version."
"M17","Algorithmic amplification / platform feedback","WEAK_ADJACENT","WEAK_ADJACENT","STRONG_SUPPORT","MODERATE_SUPPORT","NOT_ADDRESSED","STRONG_SUPPORT","NOT_ADDRESSED","3","5","MODERATE","Two independent causal demonstrations (TikTok audit; virality-increases-outrage experiments). Constrains what any organisation can measure: engagement is partly endogenous."
"M18","Moral salience vs moral saturation","WEAK_ADJACENT","NOT_ADDRESSED","NOT_ADDRESSED","WEAK_ADJACENT","MODERATE_SUPPORT","STRONG_SUPPORT","NOT_ADDRESSED","2","6","MODERATE for non-linearity; VERY WEAK for any numeric optimum","Single-domain but methodologically strong. The 0.30 density figure is corpus-specific and must never be used as a copywriting rule."
"M19","Hope vs fatalism (agency-preserving explanation)","WEAK_ADJACENT","WEAK_ADJACENT","STRONG_SUPPORT","MODERATE_SUPPORT","NOT_ADDRESSED","MODERATE_SUPPORT","MODERATE_SUPPORT","4","6","MODERATE","The manosphere's most underappreciated internal split (improvement vs blackpill) maps directly onto a design choice for any men's mental-health organisation: explain without foreclosing."
"M20","Emotional-exposure calibration (emotionally indirect + behaviourally explicit)","STRONG_SUPPORT","MODERATE_SUPPORT","MODERATE_SUPPORT","MODERATE_SUPPORT","WEAK_ADJACENT","NOT_ADDRESSED","STRONG_SUPPORT","5","8","MODERATE","Resolves the apparent directness contradiction. Sharp et al. found the SAME men preferring coded emotional language and direct action language. The dissertation's 'nongkrong yuk' reading is the Indonesian version."
