"claim_id","claim","source_domains","report_coverage","original_study","author_year","country","population","age_range","sample_size","topic_domain","research_design","predictor_iv","outcome_dv","effect_size","direction","confidence","limitations","causal","replicated","indonesia_specific","male_specific","wording_manipulated","evidence_concerns","evidence_category","mechanism_cluster","male_specificity_class"
"C026","Masculine-coded recruitment language reduces applications from women and from weakly gender-identified men without increasing applications from traditional men.","D5","1","Debiasing job ads multimethod studies","Gaucher-tradition multimethod (2024/2025)","US (field + lab)","Job applicants","Adult","Large multimethod samples","Organisational communication","Field + lab experiments","Masculine-coded vs synonymous neutral wording","Belonging; application rates","Neutral wording expanded the pool without cost","Masculine coding narrows audience","STRONG","Recruitment domain; may not transfer to health communication","Yes","Yes","No","Yes","YES","actual behavior","A","BELONGING;IDENTITY CONGRUENCE","MALE-DIFFERENTIATED"
"C027","Masculine framing of a feminine-coded food category reduced perceived femininity but did NOT increase willingness among traditional men; it appealed only to men already endorsing progressive masculinities.","D5","1","Scholz et al. plant-based framing experiment","Scholz et al. (2024)","Germany/Europe","Adult men","Adult","Between-subjects experiment","Consumer behaviour","Experiment","Masculine lexical framing vs sensory framing","Perceived femininity; consumption willingness","Perception shifted; behaviour intention did not (for traditional men)","Perception != persuasion","MODERATE","Online hypothetical scenario; no behavioural follow-up","Yes","No","No","Yes","YES","preference;intention","A","IDENTITY REASSURANCE","MALE-DIFFERENTIATED (bounded)"
"C028","A pilot survey found the term 'toxic masculinity' rated substantially more negatively than 'positive' or 'traditional' masculinity, with ideological variation.","D5","1","Barry et al. terminology pilot","Barry et al. (2020)","UK-oriented online","Men and women","Adult","203 men; 52 women","Masculinity framing","Cross-sectional exploratory pilot","Masculinity terminology labels","Evaluations of terminology","Substantial dislike of 'toxic masculinity'","Negative for the label","WEAK (for prevalence/causality); useful descriptively","Convenience sample; no randomised wording conditions; participants knew they were rating terminology","No","No","No","Partly","Partly","preference;attitude","B","IDENTITY THREAT;COLLECTIVE INDICTMENT","UNKNOWN"
"C029","In an anti-violence education trial roughly 20% of boys resisted when 'toxic masculinity' framing presented men primarily as collective perpetrators; researchers advised abandoning the term in intervention.","D5;D3","2","Haslop et al. classroom intervention study","Haslop et al. (2024)","UK & Ireland","Secondary-school male students","13-18","Qualitative + mixed intervention trial","Masculinity framing","Qualitative/mixed intervention","'Toxic masculinity' discourse vs peer reflection","Defensive resistance; engagement","~20% overt resistance; verbatim: 'it kind of showed men as all monsters'","Backfire for collective-indictment framing","MODERATE","Educational workshop setting; adolescents not adults; qualitative","Partly","No","No","Yes","Partly","attitude;engagement","A/C","COLLECTIVE IDENTITY THREAT;REACTANCE","SOCIAL-CONTEXT"
"C030","A nationally representative latent profile analysis found the large majority of adult men in low-hostility profiles; only about one in ten fell into a high-centrality traditionalist cluster.","D5","1","Hill, Barlow et al. latent profile analysis","Hill, Barlow et al. (2025)","New Zealand","Adult heterosexual men","Adult","N=15,808","Masculinity framing","Nationally representative latent profile analysis","Gender centrality; sexism; SDO; attitudes to gender initiatives","Profile membership","35.4% egalitarian; 53.8% pragmatic moderates; 10.8% traditionalists","Most men are not the stereotype","STRONG (for NZ population structure)","Single country; self-report; profile labels are analytic conveniences","No","No","No","Yes","No","attitude","B","AUDIENCE HETEROGENEITY","MALE-DIFFERENTIATED (within-men variance)"
"C031","Precarious manhood beliefs are measurable across 62 nations but endorsement levels differ substantially between societies.","D5;D3;D7","3","Bosson, Vandello et al. cross-cultural study","Bosson, Vandello et al. (2021)","62 nations","University and adult samples","Adult","Very large multi-country","Masculinity theory","Cross-sectional multi-country survey","Precarious manhood beliefs","Gender ideology; country indicators","Psychometric invariance across 13 regions; substantial cross-national variation","Present but culturally variable","STRONG (for measurability); refutes strong universality","Cross-sectional; national aggregation obscures within-country variation","No","Yes","No","Yes","No","attitude","B","STATUS;IDENTITY THREAT","GENERAL (culturally graded)"
"C032","Traditional masculinity ideology predicted about 11.4% of variance in professional psychological help-seeking attitudes among young Chinese-Indonesian men.","D1;D2;D5;D7","4","Chandra & Himawan","Chandra & Himawan (2025/2026)","Indonesia (Jakarta metro)","Chinese-Indonesian men (ethnic minority)","18-25","N=115","Indonesia masculinity & MH","Hierarchical multiple regression, cross-sectional","MRNI-SF traditional masculinity ideology","ATSPPH-SF help-seeking attitude","11.4% of variance","Negative","MODERATE for this sample; LOW for Indonesian men generally","Small; young; urban; ethnic-minority-specific; cross-sectional; no wording manipulation","No","No","YES","Yes","No","attitude","B","IDENTITY-THREAT;FAMILY STIGMA","INDONESIA-CONFIGURED"
"C033","In an urban Surabaya sample, masculinity ideology, masculine norms and gender-role conflict showed NO significant correlation with primary healthcare use.","D5;D7","2","Hadisuyatmana et al. Surabaya study","Hadisuyatmana et al. (2017/2020)","Indonesia (Surabaya)","Urban men","20-40","N=134","Indonesia masculinity & health","Cross-sectional","Masculinity ideology; masculine norms; GRC","Primary-care utilisation","Non-significant: p=.455, .654, .300","NULL","MODERATE (important boundary condition)","Cross-sectional; one urban sample; physical rather than mental health; no framing manipulation","No","No","YES","Yes","No","actual behavior","B","(none - null finding)","INDONESIA-CONFIGURED"
"C034","Indonesian men's health management is frequently delegated to wives; erectile dysfunction is experienced as 'losing a sense of masculinity'; overloaded Puskesmas queues and short consultations leave no room to raise sensitive concerns.","D7","1","Hadisuyatmana et al. ED/diabetes interviews","Hadisuyatmana et al. (2021)","Indonesia","Men with type-2 diabetes and erectile dysfunction","Adult","Semi-structured interview study","Indonesia masculinity & health","Qualitative","Masculinity; household division of labour; service design","Health management; disclosure","Not quantified","Care is relational; institutions deter disclosure","MODERATE (qualitative)","Small; specific clinical population; Javanese-weighted","No","No","YES","Yes","No","observed usage;actual behavior","C","RELATIONAL CARE;PROVIDER IDENTITY;INSTITUTIONAL FRICTION","INDONESIA-CONFIGURED"
"C035","Indonesian national survey data show marital status, employment and insurance status predict men's health-seeking; illness is widely read as takdir (fate); silence is framed by a 'macho male maxim of strength in silence'.","D7","1","Handayani et al. national analysis","Handayani et al. (2021)","Indonesia (national)","National sample of Indonesian men","Adult","National survey data","Indonesia masculinity & health","Quantitative analysis of national survey","Sociodemographic factors; religious framing","Health-seeking behaviour","Divorced young men markedly worse; self-employed/salaried seek care more than unemployed/low-income","Material and marital conditions matter","MODERATE-STRONG","Secondary survey data; not mental-health-specific throughout","No","No","YES","Yes","No","actual behavior","B","MATERIAL CONDITIONS;RELATIONAL CARE;MEANING-MAKING","INDONESIA-CONFIGURED"
"C036","Indonesian general practitioners withheld psychiatric referrals until patients returned with self-harm injuries; 56.7% of an affected sample were unemployed and could not meet travel and out-of-pocket costs.","D7","1","Munira et al. barriers study","Munira et al. (2023)","Indonesia","People with mental disorders (not men only)","Adult","Qualitative","Indonesia mental health system","Qualitative","Institutional gatekeeping; cost","Access to psychiatric care","Not quantified for the referral finding","Institutional barrier is severe and prior to any wording","MODERATE (qualitative)","Not men-only; qualitative; single-country","No","No","YES","No (mixed sample)","No","actual behavior","C","INSTITUTIONAL FRICTION;MATERIAL COST","INDONESIA-CONFIGURED"
"C037","Javanese-Islamic concepts reframe illness management as active religious duty (ngelakoni), family caretaking as ngemong, and communal ritual (slametan) reintegrates the ill; neighbours brought the ill man to hospital.","D7","1","Subandi et al. first-episode psychosis case study","Subandi et al. (2022)","Indonesia (Java)","First-episode psychosis patient and family","Adult","Follow-up case study","Indonesia mental health","Qualitative case study","Religious and communal meaning frames","Recovery; care pathway","Not quantified","Religion and community can facilitate as well as inhibit","MODERATE (rich single case)","Single case; Javanese-Muslim; not generalisable to prevalence","No","No","YES","No (not men-only)","No","actual behavior;clinical outcome","C","COMMUNITY AS AGENT;MEANING-MAKING;RELIGION","INDONESIA-CONFIGURED"
"C038","Across a critical interpretive synthesis of 154 studies read against 6 Indonesian studies, Community and socio-economic status are the dominant social determinants of men's health-seeking in both Global North and Global South; Religion is dramatically more prominent in the Global South.","D7","1","Menungsa-affiliated MSc dissertation (Critical Interpretive Synthesis)","B281059 (2026), Univ. of Edinburgh","154 studies (100 Global North, 50 Global South, 4 mixed); 6 Indonesian","Men","Adult","154 studies","Indonesia masculinity & MH","Critical Interpretive Synthesis","HIMM determinants","Coded determinant frequency","Community 78.6%; SES 70.1%; Religion 5% North vs 34% South (29-point gap); Community 100% of Indonesian studies","Community and material conditions dominate","STRONG for corpus structure; INTERPRETIVE for conclusions","Interpretive not aggregative; only 6 Indonesian studies; Javanese/Muslim-weighted; author states own positionality","No","n/a","YES (adapted)","Yes","No","n/a","C/F","RELATIONAL CARE;COMMUNITY;RELIGION;MATERIAL CONDITIONS","INDONESIA-CONFIGURED"
"C039","The 'individual help-seeker' at the centre of Global North frameworks does not transfer to Indonesia: masculinity, distress and care are organised relationally through households and communities; community operates as both care and surveillance.","D7","1","Menungsa-affiliated MSc dissertation (lines-of-argument synthesis)","B281059 (2026)","Indonesia","Indonesian men","Adult","Interpretive across 154+6 studies","Indonesia masculinity & MH","Critical Interpretive Synthesis (theory-generative)","HIMM individual unit vs relational unit","Framework transferability","Re-specified HIMM: relational core; Religion and Institution added to the wheel","Reframing","MODERATE-STRONG as theory; UNTESTED empirically","Interpretive; not a prevalence or causal claim; explicitly offered as open to testing","No","No","YES","Yes","No","n/a","F","RELATIONAL CARE;BELONGING;SURVEILLANCE","INDONESIA-CONFIGURED"
"C040","Indonesian male homosociality is abundant but confiding is rare: peer research distinguishes teman nongkrong (hangout friends) from teman curhat (confidants), and men avoid emotional reliance on male peers.","D7;D2","2","Prawiro & Purbaningrum peer-group research; Hadisuyatmana et al. (2017)","Prawiro & Purbaningrum (2021); Hadisuyatmana et al. (2017)","Indonesia","Indonesian men","Adult","Qualitative","Indonesia male sociality","Qualitative","Homosocial space (warkop/nongkrong)","Emotional disclosure","Companionship abundant; confiding rare","Brotherhood is structurally constrained","MODERATE","Qualitative; Java-weighted; small samples","No","No","YES","Yes","No","observed usage","C","BELONGING vs DISCLOSURE (dissociated)","INDONESIA-CONFIGURED"
"C041","A casual invitation such as 'nongkrong yuk' can function as help-seeking that requires no emotional vocabulary and no exposure to communal judgement.","D7","1","Menungsa-affiliated dissertation interpretation of Levant's normative male alexithymia + Indonesian peer research","B281059 (2026); Levant (1992; 2009)","Indonesia","Indonesian men","Adult","Interpretive","Indonesia male sociality","Theoretical interpretation grounded in qualitative evidence","Low-disclosure invitation form","Functional help-seeking","Not quantified","Relational help-seeking is invisible to Northern measures","SPECULATIVE / PROMISING (theory-derived)","Not empirically tested; must not be presented as a proven wording effect","No","No","YES","Yes","No","n/a","F","LOW EXPOSURE COST;RELATIONAL CARE","INDONESIA-CONFIGURED"
"C042","In a large non-representative Indonesian survey, 18% of male respondents reported accessing mental-health services in three years versus 31% of female respondents; 73% cited health professionals' communication skills as a consideration when choosing a service.","D2","1","Into The Light national survey","Into The Light Indonesia (2021)","Indonesia (all 34 provinces)","Self-selected online respondents","79.9% aged 18-34","N=5,211","Indonesia mental health","Online cross-sectional survey","Gender; service attributes","Service access; service-choice criteria","18% male vs 31% female; 73% cite communication quality","Gender gap within sample","MODERATE for sample; LOW as national prevalence","Self-selected; 67.3% female; 75.8% Java; young-skewed; not representative","No","No","YES","Partly","No","actual behavior;preference","B","STIGMA;INSTITUTIONAL TRUST","INDONESIA-CONFIGURED"
"C043","Indonesian first- and second-person pronoun choice varies strongly by genre and constructs stance and relationship rather than only reference; Colloquial Jakartan Indonesian is a distinct register, not merely informal standard Indonesian.","D2","1","Sujatna et al. corpus study; Sneddon","Sujatna et al. (2024); Sneddon (2006)","Indonesia","Multi-genre Indonesian corpus","n/a","Large corpus + descriptive linguistics","Indonesian sociolinguistics","Corpus study; descriptive linguistics","Genre; register","aku/saya and kita/kami distribution","Strong genre-dependent variation","Register is relationally licensed","STRONG (linguistically)","Not male-specific; corpus genre is not conversation; Jakarta-centred","No","Yes","YES","NO","No","observed usage","D","LICENSED INTIMACY;SOCIAL DISTANCE","INDONESIA-CONFIGURED"
"C044","Indonesian provider masculinity can be renegotiated: fathers whose wives migrated reconstructed masculine respectability from pure breadwinning toward a bundle of paid work, childcare, financial management and housework.","D2","1","Indonesian transnational-family ethnography","(Indonesian transnational fatherhood study)","Indonesia","Fathers in transnational families","Adult","54 in-depth interviews + extended fieldwork","Indonesia masculinity","Qualitative/ethnographic","Wife's labour migration","Masculine self-definition","Not quantified","Provider identity is flexible, not fixed","MODERATE (mechanistic insight)","Specific transnational-family population; not generalisable","No","No","YES","Yes","No","observed usage","C","PROVIDER IDENTITY;RESPONSIBILITY;CARE","INDONESIA-CONFIGURED"
