"mechanism_id","mechanism","message_feature","perceived_social_meaning","appraisal","psychological_mechanism","emotional_response","relational_response","behavioural_possibility","key_moderators","evidence_strength","male_specificity_class","failure_mode"
"M11","Relational care","Framing care as something that moves between people rather than something an individual procures","'This fits how care already happens in my household'","Role congruence within an existing division of care labour","Care obtained without the man having to become an individual help-seeker","Relief; continuity; absence of role rupture","Communicator recognised as understanding local life","Care actually reaches the man, possibly via a wife, friend or neighbour","Household composition; whether relations are supportive or controlling; unmarried men are structurally exposed","MODERATE (interpretive, Indonesia-specific, untested)","INDONESIA-CONFIGURED","Backfires by assuming every man has healthy relations; relationality is not a cure, and dependence can silence as easily as support"
"M12","Community as care AND surveillance","Any framing that increases communal visibility of a man's distress","'Who else will know, and what will they conclude about my family?'","Family-stigma appraisal; rukun and gotong royong obligation","Support mobilised OR reputational exposure incurred","Safety OR malu and family shame","Community becomes an agent, not a backdrop","Help arrives through neighbours OR concealment intensifies","Whether the specific community is a supportive or judging one; urban anonymity vs kampung visibility","MODERATE","INDONESIA-CONFIGURED","The single most important Indonesian design constraint: every gain in communal reach is also a gain in communal exposure"
"M13","Meaning-making / religious frame","Whether distress is framed as fixed fate (takdir) or as a trial to be actively worked through (ngelakoni)","'Is this something to be endured because it is written, or something I am responsible for managing?'","Explanatory-model selection; positive vs negative religious coping","Fatalism OR active coping with religious legitimacy","Resignation OR purposeful endurance","Communicator aligned with or against the recipient's moral world","Delayed care OR treatment adherence as religious duty","Which framing the surrounding community endorses; denomination; whether the organisation has standing to speak religiously","MODERATE","INDONESIA-CONFIGURED","Backfires if a secular organisation appropriates religious authority it does not hold, or if it treats religiosity as an obstacle rather than a resource"
"M14","Material and institutional friction","Any communication that assumes an accessible service exists","'Even if I want this, can I get it, afford it, and reach it?'","Feasibility appraisal (prior to and independent of persuasion)","Access OR blocked access","Frustration; futility; cynicism about the organisation","Credibility collapses if the promised pathway does not work","Nothing happens regardless of message quality","JKN coverage; distance; queue length; consultation length; GP gatekeeping; cost of travel","MODERATE-STRONG","INDONESIA-CONFIGURED","This is the mechanism most likely to make an otherwise excellent voice strategy fail. A CTA without a working pathway is the corpus's clearest anti-pattern"
"M15","Humour / social-distance reduction","Irony, understatement, self-deprecation, absurdity","'This is not solemn; I can approach without ceremony'","Threat de-escalation; institutional distance reduction","Face-saving entry","Amusement; ease; reduced dread","Communicator becomes peer-like","Attention and entry, NOT demonstrated persuasion","Severity; whose joke it is; whether the group's humour norms are inclusive or exclusionary","MIXED","SOCIAL-CONTEXT","Backfires when the social function is to make the subject undiscussable (banter as avoidance) or when it trivialises acute risk"
"M16","Quantified / legible progress","Scales, thresholds, streaks, simple numbers","'I can locate myself without having to describe myself'","Self-assessment without affective vocabulary","Legibility; tractability","Calm; sometimes relief at not having to find words","Communicator seen as practical","Repeat self-monitoring; easier disclosure","Whether the metric measures something the person can influence; whether ranking is against self or others","PROMISING/TENTATIVE","GENERAL","Backfires as self-objectification when the metric is a comparative rank against other men (looksmaxxing) rather than a self-referenced state"
"M17","Algorithmic amplification / platform feedback","Content optimised for reach vs content optimised for conversion","(operates below awareness)","n/a - system-level","Exposure changes independently of message quality","Outrage begets outrage; visible virality increases outrage expression","Audience composition shifts away from the intended audience","Engagement metrics become endogenous and unreliable","Platform architecture; format; comment-driven reach","MODERATE","GENERAL","Constrains measurement, not just tone: high engagement can indicate hostility or algorithmic selection rather than agreement"
"M18","Moral salience vs moral saturation","Proportion and forcefulness of moral content within a message","'Are they telling me something, or telling me off?'","Informational-utility appraisal; sanctimony detection","Moral relevance OR preachiness attribution","Moral elevation OR irritation and disengagement","Institution seen as principled OR as grandstanding","Sharing OR scrolling past","Sender type (a men's mental-health nonprofit has a higher licit moral baseline than a razor brand); issue; platform","MODERATE for non-linearity; VERY WEAK for any number","GENERAL","Backfires as moral scolding. Never use a numeric density target; the operative variables are proportion of the message, imperative force, and whether the audience is positioned as culprit"
"M19","Hope vs fatalism","Whether an explanation leaves room for change","'Does this explanation still let me do something?'","Controllability appraisal","Preserved possibility OR foreclosure","Hope OR despair","Communicator seen as on the recipient's side OR as confirming his worst reading","Continued engagement OR withdrawal","Severity; how much of the causation is genuinely structural; the recipient's prior attempts","MODERATE","SOCIAL-CONTEXT","Backfires in both directions: false hope ('just be disciplined') and fatalistic honesty ('the system is rigged') both foreclose action"
"M20","Emotional-exposure calibration","Independent settings for emotional explicitness and behavioural explicitness","'How much do I have to feel out loud in order to use this?'","Exposure appraisal separate from comprehension","Access without emotional performance","Ease; and later, the possibility of emotion arriving on its own terms","Communicator does not demand a performance as entry price","Entry, then possible deepening","Stage of the relationship; severity; audience visibility; whether precision is clinically necessary","MODERATE","SOCIAL-CONTEXT","Backfires as euphemism when clinical precision is required (suicide risk, diagnosis, emergency instruction)"
