"id","conclusion","confidence_tier","evidence_category","principal_limitation","male_specificity_class","source_domains"
"E20","Manosphere audiences are heterogeneous and often socioeconomically advantaged; misogyny is usually not the entry hook","MODERATE","B/C","cross-sectional plus qualitative; selection unresolved; advocacy-org data","SOCIAL-CONTEXT","D3;D4"
"E21","Action/growth framing and coded everyday emotional language are preferred by some men","PROMISING/TENTATIVE","C","preference only; single qualitative study; no behavioural comparison","SOCIAL-CONTEXT","D1"
"E22","Lowering the social cost of responding matters more than raising emotional intensity","PROMISING/TENTATIVE","G","recurs across six of seven domains; never directly tested as a construct","SOCIAL-CONTEXT","ALL"
"E23","Bounded numeric check-ins reduce the vocabulary barrier to disclosure","PROMISING/TENTATIVE","E","industry practice with strong face validity; no controlled comparison","GENERAL","D1"
"E24","Emotionally indirect plus behaviourally explicit is a viable and probably preferable configuration for entry content","PROMISING/TENTATIVE","G","cross-report inference from preference data and practice convergence","SOCIAL-CONTEXT","D1;D2;D7"
"E25","Humour improves receptivity in male audiences","MIXED","A/C/E","high usage, strong entry evidence, null clinical outcome evidence","SOCIAL-CONTEXT","D1;D2;D3"
"E26","Masculinity framing improves men's responses","MIXED","A","helps in gender-incongruent public contexts; null or harmful otherwise","MALE-DIFFERENTIATED","D5"
"E27","Strength-based reframing of help-seeking is net beneficial","MIXED","B/C","short-term engagement vs long-term norm reinforcement never measured together","SOCIAL-CONTEXT","D1;D5"
"E28","'Bro', 'brotherhood', 'gue/lo' or any specific Indonesian register increases trust among Indonesian men","WEAK","D/E","no Indonesian randomised wording experiment was located in ANY source report","INDONESIA-CONFIGURED","D2;D4"
"E29","'Pria sejati' or similar Indonesian masculinity-policing wording causes reactance","WEAK","G","mechanistically plausible; no Indonesian experimental test exists","UNKNOWN","D2;D5"
"E30","A universal male tone of voice exists","WEAK / UNSUPPORTED","n/a","explicitly rejected by the two highest-rigour reports in the corpus","n/a","D1;D2"
"E31","A uniquely male loneliness epidemic explains manosphere appeal","CONTESTED","B","systematic review and representative polling dispute the epidemic framing","GENERAL","D3"
"E32","Neuroscience explains any communication effect in this corpus","UNSUPPORTED","G","no source report located robust neural evidence bearing on wording","GENERAL","D1;D2;D5"
"E33","Evolutionary psychology adds explanatory value beyond social and cultural mechanisms here","WEAK / SPECULATIVE","D/F","used heavily as rhetoric; cross-national variation in manhood beliefs contradicts strong universality","GENERAL","D3;D4;D5"
"E34","A 30% moral-density target is applicable to organisational or Indonesian communication","UNSUPPORTED","B","corpus-specific fitted optimum from political/fringe text platforms; never transferred","GENERAL","D6"
"E35","Indonesian men aged 18-35 respond to any specific wording in any specific way","UNKNOWN / UNTESTED","n/a","the corpus contains ZERO Indonesian randomised wording experiments on this population","INDONESIA-CONFIGURED","ALL"
